month,country,gdp_growth,exports,imports,inflation,unemployment,dgs10_yield_pct,sentiment_score,currency crisis,debt crisis,year,interest_rate,gdp_growth_lag1,gdp_growth_lag3,gdp_growth_lag6,inflation_lag1,inflation_lag3,inflation_lag6,unemployment_lag1,unemployment_lag3,unemployment_lag6,interest_rate_lag1,interest_rate_lag3,interest_rate_lag6,gdp_growth_roll3,gdp_growth_roll6,inflation_roll3,inflation_roll6,unemployment_roll3,unemployment_roll6,interest_rate_roll3,interest_rate_roll6,gdp_growth_momentum,inflation_momentum,unemployment_momentum,interest_rate_momentum,stress_index,risk_label
3,THA,189318408468.595,68.402716900887,69.4511499313604,4.54036919634535,1.35,3.152272727272727,,,,2005,6.54036919634535,189318408468.595,172895685154.658,172895685154.658,4.54036919634535,2.7591492623108,2.7591492623108,1.35,1.51,1.51,6.54036919634535,4.7591492623108,4.7591492623108,189318408468.595,181107046811.6265,4.54036919634535,3.6497592293280747,1.35,1.43,6.54036919634535,5.649759229328075,16422723313.937012,1.7812199340345498,-0.15999999999999992,1.7812199340345503,-56795522538.35735,0
4,THA,189318408468.595,68.402716900887,69.4511499313604,4.54036919634535,1.35,3.152272727272727,,,,2005,6.54036919634535,189318408468.595,189318408468.595,172895685154.658,4.54036919634535,4.54036919634535,2.7591492623108,1.35,1.35,1.51,6.54036919634535,6.54036919634535,4.7591492623108,189318408468.595,183844167363.94934,4.54036919634535,3.946629218333833,1.35,1.4033333333333335,6.54036919634535,5.9466292183338325,0.0,0.0,0.0,0.0,-56795522538.35735,0
5,THA,189318408468.595,68.402716900887,69.4511499313604,4.54036919634535,1.35,3.152272727272727,,,,2005,6.54036919634535,189318408468.595,189318408468.595,172895685154.658,4.54036919634535,4.54036919634535,2.7591492623108,1.35,1.35,1.51,6.54036919634535,6.54036919634535,4.7591492623108,189318408468.595,186581287916.2722,4.54036919634535,4.243499207339592,1.35,1.3766666666666667,6.54036919634535,6.243499207339592,0.0,0.0,0.0,0.0,-56795522538.35735,0
6,THA,189318408468.595,68.402716900887,69.4511499313604,4.54036919634535,1.35,3.152272727272727,,,,2005,6.54036919634535,189318408468.595,189318408468.595,172895685154.658,4.54036919634535,4.54036919634535,2.7591492623108,1.35,1.35,1.51,6.54036919634535,6.54036919634535,4.7591492623108,189318408468.595,189318408468.595,4.54036919634535,4.54036919634535,1.35,1.35,6.54036919634535,6.54036919634535,0.0,0.0,0.0,0.0,-56795522538.35735,0
7,THA,189318408468.595,68.402716900887,69.4511499313604,4.54036919634535,1.35,3.152272727272727,,,,2005,6.54036919634535,189318408468.595,189318408468.595,189318408468.595,4.54036919634535,4.54036919634535,4.54036919634535,1.35,1.35,1.35,6.54036919634535,6.54036919634535,6.54036919634535,189318408468.595,189318408468.595,4.54036919634535,4.54036919634535,1.35,1.35,6.54036919634535,6.54036919634535,0.0,0.0,0.0,0.0,-56795522538.35735,0
8,THA,189318408468.595,68.402716900887,69.4511499313604,4.54036919634535,1.35,3.152272727272727,,,,2005,6.54036919634535,189318408468.595,189318408468.595,189318408468.595,4.54036919634535,4.54036919634535,4.54036919634535,1.35,1.35,1.35,6.54036919634535,6.54036919634535,6.54036919634535,189318408468.595,189318408468.595,4.54036919634535,4.54036919634535,1.35,1.35,6.54036919634535,6.54036919634535,0.0,0.0,0.0,0.0,-56795522538.35735,0
9,THA,189318408468.595,68.402716900887,69.4511499313604,4.54036919634535,1.35,3.152272727272727,,,,2005,6.54036919634535,189318408468.595,189318408468.595,189318408468.595,4.54036919634535,4.54036919634535,4.54036919634535,1.35,1.35,1.35,6.54036919634535,6.54036919634535,6.54036919634535,189318408468.595,189318408468.595,4.54036919634535,4.54036919634535,1.35,1.35,6.54036919634535,6.54036919634535,0.0,0.0,0.0,0.0,-56795522538.35735,0
10,THA,189318408468.595,68.402716900887,69.4511499313604,4.54036919634535,1.35,3.152272727272727,,,,2005,6.54036919634535,189318408468.595,189318408468.595,189318408468.595,4.54036919634535,4.54036919634535,4.54036919634535,1.35,1.35,1.35,6.54036919634535,6.54036919634535,6.54036919634535,189318408468.595,189318408468.595,4.54036919634535,4.54036919634535,1.35,1.35,6.54036919634535,6.54036919634535,0.0,0.0,0.0,0.0,-56795522538.35735,0
11,THA,189318408468.595,68.402716900887,69.4511499313604,4.54036919634535,1.35,3.152272727272727,,,,2005,6.54036919634535,189318408468.595,189318408468.595,189318408468.595,4.54036919634535,4.54036919634535,4.54036919634535,1.35,1.35,1.35,6.54036919634535,6.54036919634535,6.54036919634535,189318408468.595,189318408468.595,4.54036919634535,4.54036919634535,1.35,1.35,6.54036919634535,6.54036919634535,0.0,0.0,0.0,0.0,-56795522538.35735,0
12,THA,189318408468.595,68.402716900887,69.4511499313604,4.54036919634535,1.35,3.152272727272727,,,,2005,6.54036919634535,189318408468.595,189318408468.595,189318408468.595,4.54036919634535,4.54036919634535,4.54036919634535,1.35,1.35,1.35,6.54036919634535,6.54036919634535,6.54036919634535,189318408468.595,189318408468.595,4.54036919634535,4.54036919634535,1.35,1.35,6.54036919634535,6.54036919634535,0.0,0.0,0.0,0.0,-56795522538.35735,0
1,THA,221758296021.621,68.6753420333013,65.4116041579669,4.63747436011765,1.22,3.152272727272727,,,,2006,6.63747436011765,189318408468.595,189318408468.595,189318408468.595,4.54036919634535,4.54036919634535,4.54036919634535,1.35,1.35,1.35,6.54036919634535,6.54036919634535,6.54036919634535,200131704319.60367,194725056394.09933,4.57273758426945,4.5565533903074,1.3066666666666666,1.3283333333333334,6.57273758426945,6.5565533903074,32439887553.026,0.09710516377229972,-0.13000000000000012,0.09710516377229972,-66527488804.265305,0
2,THA,221758296021.621,68.6753420333013,65.4116041579669,4.63747436011765,1.22,3.152272727272727,,,,2006,6.63747436011765,221758296021.621,189318408468.595,189318408468.595,4.63747436011765,4.54036919634535,4.54036919634535,1.22,1.35,1.35,6.63747436011765,6.54036919634535,6.54036919634535,210945000170.61234,200131704319.60367,4.60510597219355,4.57273758426945,1.2633333333333334,1.3066666666666666,6.60510597219355,6.57273758426945,32439887553.026,0.09710516377229972,-0.13000000000000012,0.09710516377229972,-66527488804.265305,0
3,THA,221758296021.621,68.6753420333013,65.4116041579669,4.63747436011765,1.22,3.152272727272727,,,,2006,6.63747436011765,221758296021.621,189318408468.595,189318408468.595,4.63747436011765,4.54036919634535,4.54036919634535,1.22,1.35,1.35,6.63747436011765,6.54036919634535,6.54036919634535,221758296021.621,205538352245.108,4.63747436011765,4.588921778231501,1.22,1.2850000000000001,6.63747436011765,6.588921778231499,32439887553.026,0.09710516377229972,-0.13000000000000012,0.09710516377229972,-66527488804.265305,0
4,THA,221758296021.621,68.6753420333013,65.4116041579669,4.63747436011765,1.22,3.152272727272727,,,,2006,6.63747436011765,221758296021.621,221758296021.621,189318408468.595,4.63747436011765,4.63747436011765,4.54036919634535,1.22,1.22,1.35,6.63747436011765,6.63747436011765,6.54036919634535,221758296021.621,210945000170.61234,4.63747436011765,4.60510597219355,1.22,1.2633333333333334,6.63747436011765,6.60510597219355,0.0,0.0,0.0,0.0,-66527488804.265305,0
5,THA,221758296021.621,68.6753420333013,65.4116041579669,4.63747436011765,1.22,3.152272727272727,,,,2006,6.63747436011765,221758296021.621,221758296021.621,189318408468.595,4.63747436011765,4.63747436011765,4.54036919634535,1.22,1.22,1.35,6.63747436011765,6.63747436011765,6.54036919634535,221758296021.621,216351648096.11667,4.63747436011765,4.6212901661556,1.22,1.2416666666666667,6.63747436011765,6.6212901661556,0.0,0.0,0.0,0.0,-66527488804.265305,0
6,THA,221758296021.621,68.6753420333013,65.4116041579669,4.63747436011765,1.22,3.152272727272727,,,,2006,6.63747436011765,221758296021.621,221758296021.621,189318408468.595,4.63747436011765,4.63747436011765,4.54036919634535,1.22,1.22,1.35,6.63747436011765,6.63747436011765,6.54036919634535,221758296021.621,221758296021.621,4.63747436011765,4.63747436011765,1.22,1.22,6.63747436011765,6.63747436011765,0.0,0.0,0.0,0.0,-66527488804.265305,0
