country,month,y_true,y_pred,y_prob
DEU,2019-05-31,0,0,0.23402078313203836
RUS,2019-05-31,0,0,0.4230084765895459
SGP,2019-05-31,0,0,0.1968237552859752
ITA,2019-05-31,0,0,0.19984910176764317
ARE,2019-05-31,0,0,0.19088190901683164
FRA,2019-05-31,0,0,0.23525825838978906
ESP,2019-05-31,0,0,0.25562480725647213
CHE,2019-05-31,0,0,0.20898214875151486
GBR,2019-05-31,0,0,0.30657948552779407
USA,2019-05-31,0,0,0.20213421490882155
AUS,2019-05-31,0,0,0.26841666798078917
THA,2019-05-31,0,0,0.20805915351567625
IDN,2019-05-31,0,0,0.24908854665108604
NOR,2019-05-31,0,0,0.3325473334081648
ISR,2019-05-31,0,0,0.47575691723162333
SAU,2019-05-31,0,0,0.20554986404005526
BEL,2019-05-31,0,0,0.1923567669428677
MEX,2019-05-31,0,0,0.29590778703744597
ARG,2019-05-31,0,0,0.5638964263473183
NLD,2019-05-31,0,0,0.2198642256052367
SWE,2019-05-31,0,0,0.2025775592037847
IRL,2019-05-31,0,0,0.20303298522225866
BRA,2019-05-31,0,0,0.26946886985449736
CHN,2019-05-31,0,0,0.34102863792983945
CAN,2019-05-31,0,0,0.202597412761628
KOR,2019-05-31,0,0,0.3238198029469335
TUR,2019-05-31,0,0,0.45199286454475573
JPN,2019-05-31,0,0,0.21790115202874547
POL,2019-05-31,0,0,0.20044030068661248
IRL,2019-06-30,0,0,0.19498087570129577
CAN,2019-06-30,0,0,0.43834015751875915
KOR,2019-06-30,0,0,0.34709235395801846
CHE,2019-06-30,0,0,0.22297238989138454
ISR,2019-06-30,0,0,0.40695501692651215
DEU,2019-06-30,0,0,0.331788539545797
SWE,2019-06-30,0,0,0.23134537554340429
GBR,2019-06-30,0,0,0.5926240811210847
ARG,2019-06-30,0,1,0.7732349040228331
USA,2019-06-30,0,0,0.3846474757816692
ARE,2019-06-30,0,0,0.22656880752033204
ITA,2019-06-30,0,0,0.26440080248646475
IND,2019-06-30,0,1,0.7444362719674484
RUS,2019-06-30,0,1,0.6996648153844264
IDN,2019-06-30,0,0,0.5880092452651625
BRA,2019-06-30,0,1,0.7255958723727539
JPN,2019-06-30,0,0,0.2948171080342921
POL,2019-06-30,0,0,0.2294705918449967
MEX,2019-06-30,0,0,0.43348602766413746
BEL,2019-06-30,0,0,0.19963568941363855
TUR,2019-06-30,0,1,0.7726015075675097
THA,2019-06-30,0,0,0.22717103806117023
SAU,2019-06-30,0,0,0.21631501860479374
FRA,2019-06-30,0,0,0.32935962136799163
AUS,2019-06-30,0,0,0.23710177383947273
NOR,2019-06-30,0,0,0.40492251795139067
NLD,2019-06-30,0,0,0.3462904754253479
CHN,2019-06-30,0,0,0.3670384371898858
SGP,2019-06-30,0,0,0.21711466954951264
ESP,2019-06-30,0,0,0.40219554724132744
SWE,2019-07-31,0,0,0.20499602629620348
BRA,2019-07-31,0,0,0.43300879272059883
THA,2019-07-31,0,0,0.21672491056072643
IDN,2019-07-31,0,1,0.6058712294579739
SAU,2019-07-31,0,0,0.29253949551080244
SGP,2019-07-31,0,0,0.2523590805714819
CAN,2019-07-31,0,0,0.45599760815646295
MEX,2019-07-31,0,0,0.5803328846651518
ARE,2019-07-31,0,0,0.2178819855133917
KOR,2019-07-31,0,0,0.40790875322913084
USA,2019-07-31,0,0,0.3850018808306654
FRA,2019-07-31,0,0,0.3127814122963614
GBR,2019-07-31,0,0,0.37048434679619935
JPN,2019-07-31,0,0,0.43752707064262836
POL,2019-07-31,0,0,0.2666969210083217
RUS,2019-07-31,0,1,0.6644258558953514
TUR,2019-07-31,0,1,0.6841624721923396
IND,2019-07-31,0,1,0.7266364763709466
AUS,2019-07-31,0,0,0.37657179342837965
ISR,2019-07-31,0,0,0.4134259039989135
IRL,2019-07-31,0,0,0.20008834523834054
CHN,2019-07-31,0,0,0.38437544955474356
CHE,2019-07-31,0,0,0.1952654460435893
BEL,2019-07-31,0,0,0.20019281779491918
ESP,2019-07-31,0,0,0.286628390463229
NOR,2019-07-31,0,0,0.3143622234431051
DEU,2019-07-31,0,0,0.45121543876608133
ARG,2019-07-31,0,1,0.7917152951662363
